año,eleccion_tipo,eleccion_id,recuento_tipo,recuento_id,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,asistencia_mesa,votos_positivos,promedio_asistencia_circuito,diferencia_asistencia,z_score_diferencia_asistencia
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,3,DIPUTADO NACIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,81,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,3,DIPUTADO NACIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,86,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,1,PRESIDENTE Y VICE,133,HACEMOS POR NUESTRO PAIS,,,POSITIVO,16,99.71671388101983,271.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,1,PRESIDENTE Y VICE,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,6,99.71671388101983,271.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,2,SENADOR NACIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,87,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,2,SENADOR NACIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,81,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,2,SENADOR NACIONAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,72,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,7,INTENDENTE,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,5,99.71671388101983,255.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,7,INTENDENTE,20921,PARTIDO AUTONOMISTA,,,POSITIVO,15,99.71671388101983,255.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,7,INTENDENTE,20135,LA LIBERTAD AVANZA,,,POSITIVO,55,99.71671388101983,255.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,2,SENADOR NACIONAL,20136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,5,99.71671388101983,245.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,108,San Pedro,00913,00913,117,NATIVOS,353,1,PRESIDENTE Y VICE,134,UNION POR LA PATRIA,,,POSITIVO,83,99.71671388101983,271.0,80.46383241293213,19.252881468087693,5.368654498065714
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,1,PRESIDENTE Y VICE,134,UNION POR LA PATRIA,,,POSITIVO,78,99.71751412429379,277.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,1,PRESIDENTE Y VICE,133,HACEMOS POR NUESTRO PAIS,,,POSITIVO,18,99.71751412429379,277.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,1,PRESIDENTE Y VICE,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,4,99.71751412429379,277.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,1,PRESIDENTE Y VICE,135,LA LIBERTAD AVANZA,,,POSITIVO,87,99.71751412429379,277.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,8,PARLAMENTO MERCOSUR NACIONAL,136,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,,,POSITIVO,2,99.71751412429379,259.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,8,PARLAMENTO MERCOSUR NACIONAL,132,JUNTOS POR EL CAMBIO,,,POSITIVO,98,99.71751412429379,259.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,8,PARLAMENTO MERCOSUR NACIONAL,134,UNION POR LA PATRIA,,,POSITIVO,75,99.71751412429379,259.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,8,PARLAMENTO MERCOSUR NACIONAL,135,LA LIBERTAD AVANZA,,,POSITIVO,69,99.71751412429379,259.0,80.65469745526279,19.062816669030994,5.315655042370158
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,18,Capitán Sarmiento,00121,00121,27,NATIVOS,354,1,PRESIDENTE Y VICE,132,JUNTOS POR EL CAMBIO,,,POSITIVO,90,99.71751412429379,277.0,80.65469745526279,19.062816669030994,5.315655042370158
