año,eleccion_tipo,eleccion_id,recuento_tipo,recuento_id,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,circuito_nombre,mesa_id,mesa_tipo,mesa_electores,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad,asistencia_mesa,porcentaje,resultado_circuito,diff,z_score_diff
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,112,Tapalqué,00947,00947,27,NATIVOS,137,7,INTENDENTE,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,85,120,62.04379562043796,8.947368421052632,53.09642719938533,4.204791779027475
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,125,Zárate,01021,01021,274,NATIVOS,350,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,178,291,50.857142857142854,7.601013232246294,43.25612962489656,3.144320101843711
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,125,Zárate,01021,01021,276,NATIVOS,348,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,176,298,50.57471264367817,7.601013232246294,42.97369941143187,3.113883091184933
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,125,Zárate,01021,01021,285,NATIVOS,354,7,INTENDENTE,20134,UNION POR LA PATRIA,,,POSITIVO,180,298,50.847457627118644,7.601013232246294,43.24644439487235,3.143276341525495
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,8,PARLAMENTO MERCOSUR NACIONAL,134,UNION POR LA PATRIA,,,POSITIVO,175,272,50.1432664756447,5.054621949178878,45.08864452646582,3.3418070311180377
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,441,NATIVOS,352,8,PARLAMENTO MERCOSUR NACIONAL,134,UNION POR LA PATRIA,,,POSITIVO,177,284,50.28409090909091,5.054621949178878,45.229468959912026,3.3569834342699423
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,00497,00497,586,NATIVOS,350,8,PARLAMENTO MERCOSUR NACIONAL,134,UNION POR LA PATRIA,,,POSITIVO,166,339,47.42857142857143,3.944536882972823,43.484034545598604,3.168881016965009
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,8,PARLAMENTO MERCOSUR NACIONAL,135,LA LIBERTAD AVANZA,,,POSITIVO,8,10,61.53846153846154,10.0,51.53846153846154,4.036892541740394
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,8,PARLAMENTO MERCOSUR NACIONAL,132,JUNTOS POR EL CAMBIO,,,POSITIVO,39,59,58.2089552238806,4.274446983026515,53.934508240854086,4.295110308618127
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,440,NATIVOS,349,9,PARLAMENTO MERCOSUR REGIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,187,272,53.581661891117484,5.017569861114431,48.56409203000305,3.7163499364662766
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,8.0,Sección Capital,63,La Plata,0496B,0496B,441,NATIVOS,352,9,PARLAMENTO MERCOSUR REGIONAL,20134,UNION POR LA PATRIA,,,POSITIVO,177,284,50.28409090909091,5.017569861114431,45.266521047976475,3.360976473065307
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,87,Pergamino,00757,00757,270,NATIVOS,13,9,PARLAMENTO MERCOSUR REGIONAL,20135,LA LIBERTAD AVANZA,,,POSITIVO,8,10,61.53846153846154,10.0,51.53846153846154,4.036892541740394
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,2.0,Sección Segunda,103,San Antonio de Areco,00866,00866,52,NATIVOS,67,9,PARLAMENTO MERCOSUR REGIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,35,55,52.23880597014925,4.308586535010548,47.9302194351387,3.6480385943845763
2023,GENERAL,2,PROVISORIO,1,NORMAL,2,Buenos Aires,7.0,Sección Séptima,112,Tapalqué,00947,00947,27,NATIVOS,137,9,PARLAMENTO MERCOSUR REGIONAL,20132,JUNTOS POR EL CAMBIO,,,POSITIVO,71,120,51.82481751824818,7.473684210526316,44.35113330772187,3.2623267356124543
