circuito_id,mesa_id,agrupacion_nombre,cargo_nombre,votos_cantidad_generales,votos_cantidad_paso,diferencia_absoluta,z_score_diferencia
00293,45,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,114,0,114,5.756391950230024
00293,45,LA LIBERTAD AVANZA,SENADOR NACIONAL,98,0,98,4.826917515773805
00310,11,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,91,0,91,4.420272450699209
00310,11,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,94,0,94,4.5945489071597505
00310,11,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,91,0,91,4.420272450699209
00310,11,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,83,0,83,3.9555352334710996
00310,11,UNION POR LA PATRIA,DIPUTADO NACIONAL,94,0,94,4.5945489071597505
00310,11,UNION POR LA PATRIA,PRESIDENTE Y VICE,95,0,95,4.652641059313264
00310,11,UNION POR LA PATRIA,SENADOR NACIONAL,94,0,94,4.5945489071597505
00310,23,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,105,105,5.233562580848401
00310,23,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,105,105,5.233562580848401
00310,23,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,105,105,5.233562580848401
00310,24,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,95,0,95,4.652641059313264
00310,24,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,102,0,102,5.05928612438786
00310,24,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,93,0,93,4.5364567550062365
00310,24,LA LIBERTAD AVANZA,PRESIDENTE Y VICE,83,0,83,3.9555352334710996
00310,24,UNION POR LA PATRIA,DIPUTADO NACIONAL,78,0,78,3.665074472703531
00310,24,UNION POR LA PATRIA,PRESIDENTE Y VICE,84,0,84,4.013627385624614
00310,24,UNION POR LA PATRIA,SENADOR NACIONAL,78,0,78,3.665074472703531
00463,17,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,127,0,127,6.511589928225702
00463,17,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,122,0,122,6.221129167458134
00463,17,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,127,0,127,6.511589928225702
00463,17,UNION POR LA PATRIA,DIPUTADO NACIONAL,79,0,79,3.7231666248570447
00463,17,UNION POR LA PATRIA,PRESIDENTE Y VICE,81,0,81,3.8393509291640724
00463,17,UNION POR LA PATRIA,SENADOR NACIONAL,81,0,81,3.8393509291640724
00463,19,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,112,0,112,5.640207645922997
00463,19,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,107,0,107,5.349746885155429
00463,19,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,114,0,114,5.756391950230024
00463,19,UNION POR LA PATRIA,PRESIDENTE Y VICE,73,0,73,3.3746137119359627
00468,48,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,106,0,106,5.291654733001915
00468,48,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,97,0,97,4.768825363620292
00468,48,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,106,0,106,5.291654733001915
00468,48,UNION POR LA PATRIA,DIPUTADO NACIONAL,113,0,113,5.69829979807651
00468,48,UNION POR LA PATRIA,PRESIDENTE Y VICE,122,0,122,6.221129167458134
00468,48,UNION POR LA PATRIA,SENADOR NACIONAL,116,0,116,5.8725762545370515
00469,52,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,90,90,4.362180298545695
00469,52,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,88,88,4.245995994238668
00469,52,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,92,92,4.478364602852723
00469,52,UNION POR LA PATRIA,DIPUTADO NACIONAL,0,98,98,4.826917515773805
00469,52,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,98,98,4.826917515773805
00469,52,UNION POR LA PATRIA,SENADOR NACIONAL,0,99,99,4.885009667927319
00473,74,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,97,0,97,4.768825363620292
00473,74,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,90,0,90,4.362180298545695
00473,74,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,98,0,98,4.826917515773805
00473,74,UNION POR LA PATRIA,DIPUTADO NACIONAL,113,0,113,5.69829979807651
00473,74,UNION POR LA PATRIA,PRESIDENTE Y VICE,120,0,120,6.104944863151107
00473,74,UNION POR LA PATRIA,SENADOR NACIONAL,114,0,114,5.756391950230024
00473,76,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,121,121,6.16303701530462
00473,76,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,116,116,5.8725762545370515
00473,76,JUNTOS POR EL CAMBIO,SENADOR NACIONAL,0,118,118,5.9887605588440795
00473,76,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,68,68,3.0841529511683943
00473,76,UNION POR LA PATRIA,SENADOR NACIONAL,0,68,68,3.0841529511683943
00473,78,JUNTOS POR EL CAMBIO,DIPUTADO NACIONAL,0,130,130,6.685866384686244
